EmployeeID,Department,JobRole,MonthlyIncome,AttritionRiskScore,RiskCategory
1431,Customer Support,Support Associate,31660,0.6383610080967438,High
818,Sales,Sales Manager,64670,0.6372089085210071,High
1298,Human Resources,HR Manager,51198,0.6310248966543988,High
896,Marketing,Marketing Manager,50872,0.626722435143022,High
429,Sales,Sales Manager,55731,0.6162115908261984,High
852,Engineering,Software Engineer,58496,0.6016655923134595,High
125,Human Resources,HR Manager,48245,0.5899803428496645,Medium
1293,Engineering,Senior Engineer,107164,0.5811386257197234,Medium
1339,Sales,Sales Executive,43951,0.5761780251390851,Medium
1173,Operations,Logistics Coordinator,58962,0.576052796074849,Medium
935,Finance,Financial Analyst,55077,0.5744202337257933,Medium
1109,Customer Support,Support Associate,35484,0.5740380755345555,Medium
1230,Marketing,Marketing Manager,49223,0.5719048710621447,Medium
1282,Finance,Accountant,65361,0.5696201297750805,Medium
1306,Customer Support,Support Team Lead,40492,0.567319142868034,Medium
1186,Engineering,Software Engineer,66839,0.5639254118734708,Medium
545,Marketing,Marketing Associate,47379,0.5635891598835678,Medium
229,Operations,Logistics Coordinator,57847,0.5628599565678005,Medium
1313,Engineering,Software Engineer,52486,0.5596882076918199,Medium
368,Customer Support,Support Team Lead,51021,0.5594351035358784,Medium
1069,Sales,Sales Manager,57634,0.5589100430745213,Medium
82,Sales,Account Manager,64437,0.5585328059235075,Medium
1023,Sales,Sales Executive,44254,0.554206127504165,Medium
1260,Sales,Sales Manager,60939,0.5518440891975145,Medium
604,Customer Support,Support Associate,31474,0.5458334906227817,Medium
475,Customer Support,Support Team Lead,42048,0.5445572920946902,Medium
961,Engineering,Senior Engineer,87267,0.5436098092536134,Medium
908,Customer Support,Support Team Lead,45459,0.5433199737395932,Medium
395,Customer Support,Support Associate,36435,0.5430731986381062,Medium
815,Marketing,Marketing Manager,61206,0.5396594447205938,Medium
1368,Operations,Operations Manager,50237,0.5396017719003087,Medium
1354,Customer Support,Support Team Lead,40950,0.5382887645164742,Medium
579,Marketing,Marketing Associate,42421,0.5381869638846499,Medium
1179,Engineering,Software Engineer,59877,0.5374729949026075,Medium
1396,Sales,Sales Executive,43397,0.5359681496327127,Medium
166,Finance,Financial Analyst,46104,0.5336821046536975,Medium
144,Operations,Operations Associate,40253,0.5334364804476944,Medium
234,Marketing,Marketing Associate,35592,0.5332472762499969,Medium
782,Customer Support,Support Team Lead,45424,0.5312911944005125,Medium
630,Engineering,Software Engineer,58284,0.5292802861984164,Medium
767,Finance,Accountant,56552,0.5242332003343018,Medium
181,Engineering,Senior Engineer,74898,0.523554468813998,Medium
590,Human Resources,HR Manager,51098,0.5227480421227483,Medium
816,Marketing,Content Specialist,66034,0.5198360322046705,Medium
351,Sales,Sales Manager,61800,0.5197165530465249,Medium
1432,Marketing,Marketing Manager,55628,0.5192181269218243,Medium
165,Marketing,Marketing Manager,51885,0.51811038233004,Medium
1452,Engineering,Software Engineer,63321,0.5168247293388774,Medium
1100,Sales,Sales Executive,42621,0.5166306602279803,Medium
599,Marketing,Marketing Manager,55489,0.5161097813630915,Medium
1134,Operations,Operations Associate,33482,0.5143065465004425,Medium
652,Engineering,Senior Engineer,79791,0.5138352286784986,Medium
1164,Sales,Sales Executive,47457,0.5114561629842665,Medium
237,Engineering,Senior Engineer,87257,0.5114489997195292,Medium
567,Operations,Logistics Coordinator,58006,0.5098235438262477,Medium
114,Marketing,Marketing Manager,67374,0.5096787727039765,Medium
1098,Customer Support,Support Team Lead,60383,0.5094538078319308,Medium
597,Operations,Operations Associate,44991,0.5091733484710841,Medium
