AttendanceID,EmployeeID,Month,Year,LeavesTaken,LateMarks,WFHDays,WorkingDays
1,1,1,2025,4,0,5,22
2,1,2,2025,3,2,3,22
3,1,3,2025,1,3,6,22
4,1,4,2025,1,1,1,22
5,1,5,2025,7,2,2,22
6,1,6,2025,0,1,3,22
7,1,7,2025,0,4,3,22
8,1,8,2025,4,1,4,22
9,1,9,2025,2,2,3,22
10,1,10,2025,1,1,1,22
11,1,11,2025,4,3,6,22
12,1,12,2025,2,2,2,22
13,2,1,2025,2,2,3,22
14,2,2,2025,2,2,4,22
15,2,3,2025,0,1,0,22
16,2,5,2025,3,0,5,22
17,2,6,2025,1,0,2,22
18,2,7,2025,2,1,2,22
19,2,8,2025,1,1,5,22
20,2,9,2025,1,1,1,22
21,2,10,2025,0,1,1,22
22,2,11,2025,4,0,3,22
23,2,12,2025,0,0,3,22
24,3,1,2025,3,0,1,22
25,3,2,2025,5,5,3,22
26,3,3,2025,1,4,3,22
27,3,4,2025,1,1,2,22
28,3,5,2025,5,3,4,22
29,3,6,2025,1,4,3,22
30,3,7,2025,3,1,2,22
31,3,8,2025,1,0,1,22
32,3,9,2025,4,2,6,22
33,3,10,2025,4,3,4,22
34,3,11,2025,4,1,3,22
35,3,12,2025,1,4,6,22
36,4,1,2025,2,0,3,22
37,4,2,2025,0,0,4,22
38,4,3,2025,1,3,4,22
39,4,4,2025,1,1,3,22
40,4,5,2025,2,1,5,22
41,4,6,2025,1,1,2,22
42,4,7,2025,1,2,1,22
43,4,8,2025,0,1,1,22
44,4,9,2025,1,0,2,22
45,4,10,2025,2,1,3,22
46,4,11,2025,1,1,3,22
47,4,12,2025,1,2,4,22
48,5,1,2025,2,2,4,22
49,5,2,2025,2,2,3,22
50,5,3,2025,3,2,2,22
51,5,4,2025,5,0,2,22
52,5,5,2025,2,4,3,22
53,5,6,2025,1,2,2,22
54,5,7,2025,6,5,3,22
55,5,8,2025,4,3,0,22
56,5,9,2025,4,4,5,22
57,5,10,2025,1,3,2,22
58,5,11,2025,1,3,4,22
59,5,12,2025,2,1,3,22
60,6,1,2025,1,2,3,22
61,6,2,2025,0,2,5,22
62,6,3,2025,2,0,2,22
63,6,4,2025,0,1,1,22
64,6,5,2025,1,0,4,22
65,6,6,2025,0,0,4,22
66,6,7,2025,3,0,3,22
67,6,8,2025,4,4,4,22
68,6,9,2025,0,0,2,22
69,6,10,2025,3,2,2,22
70,6,11,2025,2,0,2,22
71,6,12,2025,1,1,2,22
72,7,1,2025,2,0,5,22
73,7,2,2025,1,3,1,22
74,7,3,2025,0,1,0,22
75,7,4,2025,1,0,3,22
76,7,5,2025,2,1,6,22
77,7,6,2025,3,0,4,22
78,7,7,2025,2,2,4,22
79,7,8,2025,1,1,3,22
80,7,9,2025,2,2,4,22
81,7,10,2025,0,0,3,22
82,7,11,2025,2,0,2,22
83,7,12,2025,1,0,4,22
84,8,1,2025,2,3,2,22
85,8,2,2025,1,0,1,22
86,8,3,2025,0,0,2,22
87,8,4,2025,2,0,4,22
88,8,5,2025,4,0,1,22
89,8,6,2025,0,0,3,22
90,8,9,2025,1,0,1,22
91,8,10,2025,2,2,2,22
92,8,11,2025,3,0,1,22
93,9,1,2025,7,2,5,22
94,9,2,2025,3,1,3,22
95,9,3,2025,1,1,2,22
96,9,4,2025,3,0,3,22
97,9,5,2025,1,3,1,22
98,9,6,2025,1,2,1,22
99,9,7,2025,3,2,1,22
100,9,8,2025,3,1,3,22
101,9,9,2025,2,0,1,22
102,9,10,2025,4,5,0,22
103,9,11,2025,0,4,2,22
104,9,12,2025,0,3,2,22
105,10,1,2025,0,0,3,22
106,10,2,2025,0,0,3,22
107,10,3,2025,0,0,0,22
108,10,4,2025,1,0,2,22
109,10,5,2025,1,1,1,22
110,10,6,2025,2,1,3,22
111,10,7,2025,1,1,4,22
112,10,8,2025,2,2,3,22
113,10,9,2025,1,2,6,22
114,10,10,2025,0,5,5,22
115,10,11,2025,0,2,1,22
116,10,12,2025,1,0,2,22
117,11,1,2025,0,1,2,22
118,11,2,2025,4,1,4,22
119,11,3,2025,2,0,2,22
120,11,4,2025,2,0,3,22
121,11,5,2025,1,5,3,22
122,11,6,2025,2,0,2,22
123,11,7,2025,4,0,6,22
124,11,8,2025,0,0,3,22
125,11,9,2025,1,2,2,22
126,11,10,2025,3,1,1,22
127,11,11,2025,1,2,4,22
128,11,12,2025,2,0,1,22
129,12,1,2025,0,0,1,22
130,12,2,2025,3,0,4,22
131,12,3,2025,4,0,3,22
132,12,4,2025,0,2,3,22
133,12,6,2025,1,0,2,22
134,12,7,2025,1,2,3,22
135,12,8,2025,0,0,4,22
136,12,9,2025,2,1,5,22
137,12,10,2025,3,2,3,22
138,12,11,2025,0,1,6,22
139,12,12,2025,0,1,5,22
140,13,1,2025,0,1,2,22
141,13,2,2025,1,1,2,22
142,13,3,2025,3,1,4,22
143,13,4,2025,1,3,2,22
144,13,5,2025,3,2,2,22
145,13,6,2025,2,1,2,22
146,13,7,2025,1,1,3,22
147,13,8,2025,2,2,6,22
148,13,9,2025,2,2,1,22
149,13,10,2025,2,0,5,22
150,13,11,2025,3,0,5,22
151,13,12,2025,1,2,3,22
152,14,1,2025,2,2,5,22
153,14,2,2025,2,1,3,22
154,14,3,2025,1,3,5,22
155,14,4,2025,4,3,1,22
156,14,5,2025,3,0,4,22
157,14,6,2025,2,3,7,22
158,14,7,2025,3,1,1,22
159,14,8,2025,3,2,0,22
160,14,9,2025,3,3,1,22
161,14,10,2025,7,1,2,22
162,14,11,2025,1,3,3,22
163,14,12,2025,4,0,1,22
164,15,1,2025,0,1,2,22
165,15,3,2025,1,0,6,22
166,15,4,2025,0,0,3,22
167,15,5,2025,0,2,2,22
168,15,6,2025,2,0,5,22
169,15,7,2025,2,0,3,22
170,15,9,2025,0,0,0,22
171,15,11,2025,3,2,3,22
172,15,12,2025,1,0,4,22
173,16,1,2025,3,2,6,22
174,16,2,2025,2,0,3,22
175,16,3,2025,2,2,7,22
176,16,4,2025,0,0,4,22
177,16,5,2025,2,0,1,22
178,16,6,2025,1,2,4,22
179,16,7,2025,0,0,3,22
180,16,8,2025,0,3,4,22
181,16,9,2025,1,1,2,22
182,16,10,2025,1,1,2,22
183,16,11,2025,0,0,3,22
184,16,12,2025,2,0,2,22
185,17,1,2025,1,1,5,22
186,17,2,2025,3,1,2,22
187,17,3,2025,3,0,5,22
188,17,4,2025,1,2,5,22
189,17,5,2025,0,0,4,22
190,17,6,2025,3,1,2,22
191,17,7,2025,1,1,0,22
192,17,8,2025,2,2,4,22
193,17,9,2025,2,0,3,22
194,17,10,2025,1,1,1,22
195,17,11,2025,2,2,2,22
196,17,12,2025,0,1,4,22
197,18,1,2025,1,0,2,22
198,18,2,2025,3,0,3,22
199,18,3,2025,1,4,2,22
200,18,4,2025,0,0,5,22
201,18,5,2025,2,2,2,22
202,18,6,2025,0,1,2,22
203,18,7,2025,1,1,3,22
204,18,8,2025,2,0,5,22
205,18,9,2025,2,1,4,22
206,18,10,2025,3,0,4,22
207,18,11,2025,1,1,4,22
208,18,12,2025,0,2,3,22
209,19,1,2025,5,3,5,22
210,19,2,2025,4,2,1,22
211,19,3,2025,1,2,4,22
212,19,4,2025,3,1,5,22
213,19,5,2025,3,2,2,22
214,19,6,2025,2,3,6,22
215,19,7,2025,4,1,3,22
216,19,8,2025,1,2,1,22
217,19,9,2025,3,4,7,22
218,19,10,2025,2,3,3,22
219,19,11,2025,7,0,2,22
220,19,12,2025,2,4,2,22
221,20,1,2025,0,4,2,22
222,20,2,2025,4,0,1,22
223,20,3,2025,1,2,4,22
224,20,4,2025,2,1,0,22
225,20,5,2025,0,1,2,22
226,20,6,2025,0,1,5,22
227,20,7,2025,2,0,8,22
228,20,8,2025,0,1,1,22
229,20,9,2025,2,1,7,22
230,20,10,2025,2,0,5,22
231,20,11,2025,2,1,2,22
232,20,12,2025,4,0,1,22
233,21,1,2025,1,1,4,22
234,21,3,2025,0,1,1,22
235,21,4,2025,1,3,5,22
236,21,6,2025,0,5,2,22
237,21,7,2025,1,1,2,22
238,21,9,2025,2,0,4,22
239,21,12,2025,1,0,3,22
240,22,1,2025,4,0,5,22
241,22,2,2025,4,1,0,22
242,22,3,2025,0,1,7,22
243,22,4,2025,1,0,2,22
244,22,5,2025,2,0,5,22
245,22,6,2025,2,1,3,22
246,22,7,2025,1,2,2,22
247,22,8,2025,4,0,1,22
248,22,9,2025,0,2,1,22
249,22,10,2025,2,1,5,22
250,22,11,2025,1,2,6,22
251,22,12,2025,0,3,4,22
252,23,1,2025,3,1,3,22
253,23,2,2025,5,0,2,22
254,23,3,2025,2,2,3,22
255,23,4,2025,0,1,3,22
256,23,5,2025,1,2,1,22
257,23,6,2025,3,2,5,22
258,23,7,2025,4,0,6,22
259,23,8,2025,2,2,2,22
260,23,9,2025,1,6,5,22
261,23,10,2025,4,0,5,22
262,23,11,2025,1,2,2,22
263,23,12,2025,4,1,1,22
264,24,1,2025,1,1,4,22
265,24,2,2025,2,1,2,22
266,24,3,2025,3,1,1,22
267,24,4,2025,2,1,4,22
268,24,5,2025,4,1,5,22
269,24,6,2025,2,2,2,22
270,24,7,2025,3,2,4,22
271,24,8,2025,6,2,3,22
272,24,9,2025,4,1,4,22
273,24,10,2025,2,1,2,22
274,24,11,2025,2,4,3,22
275,24,12,2025,2,0,4,22
276,25,1,2025,4,0,2,22
277,25,2,2025,0,2,3,22
278,25,3,2025,3,0,5,22
279,25,4,2025,1,2,4,22
280,25,5,2025,0,1,3,22
281,25,6,2025,2,0,8,22
282,25,7,2025,0,3,3,22
283,25,8,2025,2,0,2,22
284,25,9,2025,2,1,2,22
285,25,10,2025,1,0,2,22
286,25,11,2025,1,2,2,22
287,25,12,2025,0,2,4,22
288,26,1,2025,1,3,3,22
289,26,2,2025,1,6,2,22
290,26,3,2025,1,3,2,22
291,26,4,2025,2,0,4,22
292,26,5,2025,2,2,0,22
293,26,6,2025,3,1,3,22
294,26,7,2025,5,1,5,22
295,26,8,2025,1,0,5,22
296,26,9,2025,3,2,4,22
297,26,10,2025,1,0,1,22
298,26,11,2025,0,0,1,22
299,26,12,2025,1,0,9,22
300,27,1,2025,3,1,1,22
301,27,2,2025,3,1,3,22
302,27,3,2025,3,0,3,22
303,27,4,2025,3,1,2,22
304,27,5,2025,2,4,2,22
305,27,6,2025,3,3,1,22
306,27,7,2025,6,6,1,22
307,27,8,2025,2,0,4,22
308,27,9,2025,2,1,1,22
309,27,10,2025,2,1,5,22
310,27,11,2025,3,4,1,22
311,27,12,2025,4,2,4,22
312,28,1,2025,1,3,5,22
313,28,2,2025,2,1,2,22
314,28,3,2025,1,0,3,22
315,28,4,2025,2,1,7,22
316,28,5,2025,3,0,4,22
317,28,6,2025,0,1,4,22
318,28,7,2025,3,0,5,22
319,28,8,2025,1,0,0,22
320,28,9,2025,0,2,5,22
321,28,10,2025,2,1,5,22
322,28,11,2025,1,3,2,22
323,28,12,2025,0,0,2,22
324,29,1,2025,4,4,2,22
325,29,2,2025,3,2,3,22
326,29,3,2025,3,2,1,22
327,29,4,2025,1,1,8,22
328,29,5,2025,0,3,1,22
329,29,6,2025,2,1,2,22
330,29,7,2025,2,3,2,22
331,29,8,2025,1,2,3,22
332,29,9,2025,4,2,2,22
333,29,10,2025,3,1,1,22
334,29,11,2025,3,1,5,22
335,29,12,2025,3,1,4,22
336,30,1,2025,3,2,3,22
337,30,2,2025,3,3,6,22
338,30,3,2025,4,2,0,22
339,30,4,2025,3,5,2,22
340,30,5,2025,4,0,2,22
341,30,6,2025,4,2,4,22
342,30,7,2025,4,4,0,22
343,30,8,2025,1,1,2,22
344,30,9,2025,3,4,1,22
345,30,10,2025,2,1,2,22
346,30,11,2025,0,5,0,22
347,30,12,2025,2,0,3,22
348,31,1,2025,1,1,1,22
349,31,2,2025,2,1,2,22
