EmployeeID,Department,JobRole,Segment,SegmentLabel
1,Engineering,Software Engineer,0,Disengaged
2,Finance,Finance Manager,1,Early-Career Builder
3,Operations,Operations Manager,3,High Performer / Flight Risk
4,Finance,Financial Analyst,2,Stable Core
5,Sales,Sales Executive,3,High Performer / Flight Risk
6,Marketing,Marketing Associate,3,High Performer / Flight Risk
7,Engineering,Senior Engineer,1,Early-Career Builder
8,Engineering,Engineering Manager,3,High Performer / Flight Risk
9,Human Resources,Recruiter,2,Stable Core
10,Marketing,Marketing Associate,3,High Performer / Flight Risk
11,Customer Support,Support Associate,3,High Performer / Flight Risk
12,Operations,Operations Manager,1,Early-Career Builder
13,Finance,Accountant,1,Early-Career Builder
14,Human Resources,HR Associate,0,Disengaged
15,Sales,Sales Manager,1,Early-Career Builder
16,Marketing,Content Specialist,1,Early-Career Builder
17,Marketing,Content Specialist,1,Early-Career Builder
18,Sales,Sales Executive,3,High Performer / Flight Risk
19,Marketing,Marketing Manager,0,Disengaged
20,Sales,Sales Executive,1,Early-Career Builder
21,Engineering,Engineering Manager,3,High Performer / Flight Risk
22,Sales,Account Manager,3,High Performer / Flight Risk
23,Customer Support,Support Team Lead,0,Disengaged
24,Operations,Operations Associate,3,High Performer / Flight Risk
25,Customer Support,Support Associate,3,High Performer / Flight Risk
26,Human Resources,HR Associate,2,Stable Core
27,Sales,Sales Manager,0,Disengaged
28,Sales,Sales Manager,2,Stable Core
29,Customer Support,Support Associate,0,Disengaged
30,Operations,Operations Manager,2,Stable Core
31,Marketing,Marketing Associate,1,Early-Career Builder
32,Sales,Sales Executive,1,Early-Career Builder
33,Engineering,QA Engineer,0,Disengaged
34,Engineering,QA Engineer,0,Disengaged
35,Finance,Finance Manager,2,Stable Core
36,Finance,Financial Analyst,3,High Performer / Flight Risk
37,Human Resources,HR Manager,3,High Performer / Flight Risk
38,Customer Support,Support Team Lead,0,Disengaged
39,Human Resources,HR Manager,1,Early-Career Builder
40,Sales,Account Manager,0,Disengaged
41,Operations,Logistics Coordinator,1,Early-Career Builder
42,Finance,Finance Manager,2,Stable Core
43,Sales,Account Manager,2,Stable Core
44,Sales,Account Manager,3,High Performer / Flight Risk
45,Sales,Sales Manager,3,High Performer / Flight Risk
46,Sales,Account Manager,3,High Performer / Flight Risk
47,Engineering,QA Engineer,2,Stable Core
48,Sales,Sales Manager,3,High Performer / Flight Risk
49,Operations,Operations Manager,1,Early-Career Builder
50,Operations,Logistics Coordinator,3,High Performer / Flight Risk
51,Engineering,Engineering Manager,2,Stable Core
52,Operations,Logistics Coordinator,3,High Performer / Flight Risk
53,Finance,Accountant,1,Early-Career Builder
54,Customer Support,Support Associate,1,Early-Career Builder
55,Marketing,Marketing Manager,1,Early-Career Builder
56,Customer Support,Support Team Lead,2,Stable Core
57,Sales,Sales Executive,0,Disengaged
58,Customer Support,Support Associate,3,High Performer / Flight Risk
59,Customer Support,Support Associate,1,Early-Career Builder
60,Finance,Accountant,3,High Performer / Flight Risk
61,Customer Support,Support Team Lead,3,High Performer / Flight Risk
62,Engineering,QA Engineer,2,Stable Core
63,Operations,Logistics Coordinator,1,Early-Career Builder
64,Sales,Sales Executive,1,Early-Career Builder
65,Engineering,Senior Engineer,0,Disengaged
