EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,HireDate,TenureYears,BusinessTravel,DistanceFromHomeKM,MonthlyIncome,YearsSinceLastPromotion,NumCompaniesWorked,WorkLifeBalance,EnvironmentSatisfaction,JobSatisfaction,OverTime,PerformanceRating,TrainingTimesLastYear,Attrition
1,38,Male,Married,Engineering,Software Engineer,High School,2022-09-03,3,Travel_Rarely,9,62116,0,3,2,3,3,No,3,1,No
2,22,Female,Married,Finance,Finance Manager,High School,2024-05-03,1,Non-Travel,1,72934,0,2,3,1,4,Yes,4,2,Yes
3,21,Female,Single,Operations,Operations Manager,High School,2024-01-17,1,Non-Travel,3,42891,1,2,2,3,2,No,2,3,No
4,41,Female,Single,Finance,Financial Analyst,Master's,2015-11-23,10,Non-Travel,3,66549,1,2,4,4,4,Yes,3,0,No
5,35,Female,Married,Sales,Sales Executive,High School,2023-09-29,2,Travel_Rarely,1,42808,2,4,2,3,2,No,4,1,No
6,31,Male,Married,Marketing,Marketing Associate,Bachelor's,2019-05-15,6,Travel_Rarely,9,43126,0,1,3,1,2,Yes,4,1,No
7,28,Female,Married,Engineering,Senior Engineer,Master's,2024-05-22,1,Travel_Rarely,6,81925,1,0,3,2,4,No,5,3,No
8,34,Male,Divorced,Engineering,Engineering Manager,High School,2025-08-08,0,Travel_Rarely,5,124194,0,2,3,2,2,No,3,5,Yes
9,31,Male,Divorced,Human Resources,Recruiter,Bachelor's,2017-09-08,8,Travel_Rarely,1,85233,0,1,2,3,4,No,3,2,No
10,44,Male,Single,Marketing,Marketing Associate,PhD,2022-12-12,3,Travel_Frequently,7,42043,1,1,3,2,1,No,3,4,No
11,36,Male,Single,Customer Support,Support Associate,Master's,2025-04-24,0,Non-Travel,6,31794,0,3,3,4,2,No,4,4,No
12,38,Female,Married,Operations,Operations Manager,Bachelor's,2025-11-27,0,Travel_Rarely,17,40850,0,0,3,1,3,No,3,1,Yes
13,21,Male,Single,Finance,Accountant,Bachelor's,2024-11-03,1,Non-Travel,6,62913,1,4,4,2,3,Yes,1,4,No
14,28,Male,Single,Human Resources,HR Associate,Master's,2024-04-05,1,Travel_Rarely,1,32953,0,1,2,3,4,Yes,1,3,No
15,30,Female,Married,Sales,Sales Manager,Bachelor's,2024-04-27,1,Travel_Rarely,7,56747,1,6,4,4,3,No,4,1,Yes
16,23,Male,Single,Marketing,Content Specialist,Master's,2025-04-13,0,Non-Travel,5,58430,0,1,3,4,3,No,3,2,No
17,46,Male,Married,Marketing,Content Specialist,Bachelor's,2020-01-07,5,Travel_Rarely,2,73810,0,0,4,4,3,No,4,2,No
18,27,Male,Divorced,Sales,Sales Executive,Master's,2019-11-07,6,Travel_Frequently,1,50887,2,6,3,4,2,No,3,3,No
19,32,Male,Single,Marketing,Marketing Manager,Master's,2024-07-19,1,Travel_Rarely,1,60487,1,0,2,2,3,No,4,2,No
20,37,Male,Divorced,Sales,Sales Executive,Master's,2025-08-06,0,Non-Travel,9,37754,0,6,3,2,3,Yes,4,1,No
21,21,Male,Single,Engineering,Engineering Manager,High School,2024-05-27,1,Travel_Frequently,4,127973,1,1,4,3,2,No,4,4,Yes
22,43,Female,Divorced,Sales,Account Manager,Master's,2024-02-26,1,Travel_Frequently,6,68173,1,0,4,3,2,No,4,1,No
23,29,Male,Single,Customer Support,Support Team Lead,Master's,2019-05-12,6,Non-Travel,1,56796,3,2,2,1,3,No,3,3,No
24,44,Female,Single,Operations,Operations Associate,Bachelor's,2019-08-18,6,Travel_Rarely,31,34496,2,1,2,2,2,Yes,4,1,No
25,34,Male,Single,Customer Support,Support Associate,Bachelor's,2024-03-31,1,Non-Travel,1,33863,1,1,3,3,1,No,4,0,No
26,32,Male,Married,Human Resources,HR Associate,Bachelor's,2013-03-05,12,Travel_Rarely,4,55328,4,2,3,3,2,Yes,3,0,No
27,21,Female,Married,Sales,Sales Manager,Master's,2024-12-08,1,Non-Travel,6,57088,1,2,2,3,3,No,3,3,No
28,28,Female,Married,Sales,Sales Manager,High School,2019-08-04,6,Travel_Rarely,32,65680,6,3,3,4,3,No,3,2,No
