EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,HireDate,TenureYears,BusinessTravel,DistanceFromHomeKM,MonthlyIncome,YearsSinceLastPromotion,NumCompaniesWorked,WorkLifeBalance,EnvironmentSatisfaction,JobSatisfaction,OverTime,PerformanceRating,TrainingTimesLastYear,Attrition,SegmentLabel,AttritionRiskScore,RiskCategory
1,38,Male,Married,Engineering,Software Engineer,High School,2022-09-03,3,Travel_Rarely,9,62116,0,3,2,3,3,No,3,1,No,Disengaged,0.3296734695684417,Medium
2,22,Female,Married,Finance,Finance Manager,High School,2024-05-03,1,Non-Travel,1,72934,0,2,3,1,4,Yes,4,2,Yes,Early-Career Builder,,
3,21,Female,Single,Operations,Operations Manager,High School,2024-01-17,1,Non-Travel,3,42891,1,2,2,3,2,No,2,3,No,High Performer / Flight Risk,0.3823088512004203,Medium
4,41,Female,Single,Finance,Financial Analyst,Master's,2015-11-23,10,Non-Travel,3,66549,1,2,4,4,4,Yes,3,0,No,Stable Core,0.2083438682900729,Low
5,35,Female,Married,Sales,Sales Executive,High School,2023-09-29,2,Travel_Rarely,1,42808,2,4,2,3,2,No,4,1,No,High Performer / Flight Risk,0.4186231775284465,Medium
6,31,Male,Married,Marketing,Marketing Associate,Bachelor's,2019-05-15,6,Travel_Rarely,9,43126,0,1,3,1,2,Yes,4,1,No,High Performer / Flight Risk,0.4146671644215876,Medium
7,28,Female,Married,Engineering,Senior Engineer,Master's,2024-05-22,1,Travel_Rarely,6,81925,1,0,3,2,4,No,5,3,No,Early-Career Builder,0.3222218288414122,Medium
8,34,Male,Divorced,Engineering,Engineering Manager,High School,2025-08-08,0,Travel_Rarely,5,124194,0,2,3,2,2,No,3,5,Yes,High Performer / Flight Risk,,
9,31,Male,Divorced,Human Resources,Recruiter,Bachelor's,2017-09-08,8,Travel_Rarely,1,85233,0,1,2,3,4,No,3,2,No,Stable Core,0.1091691088223354,Low
10,44,Male,Single,Marketing,Marketing Associate,PhD,2022-12-12,3,Travel_Frequently,7,42043,1,1,3,2,1,No,3,4,No,High Performer / Flight Risk,0.4408034252577232,Medium
