ReviewID,EmployeeID,ReviewYear,PerformanceRating,GoalsMetPercent,ManagerFeedbackScore
1,1,2026,3,87,5
2,1,2025,3,100,5
3,1,2024,3,85,6
4,2,2026,5,100,9
5,3,2026,3,100,7
6,4,2026,4,85,9
7,4,2025,3,86,6
8,4,2024,4,90,10
9,4,2023,3,100,6
10,4,2022,3,77,5
11,5,2026,5,100,10
12,5,2025,5,74,9
13,6,2026,4,100,8
14,6,2025,5,72,10
15,6,2024,4,100,7
16,6,2023,4,83,6
17,6,2022,5,93,8
18,7,2026,5,100,10
19,8,2026,2,58,2
20,9,2026,4,91,8
21,9,2025,3,83,4
22,9,2024,3,91,5
23,9,2023,3,63,3
24,9,2022,4,82,9
25,10,2026,3,71,4
26,10,2025,3,73,5
27,10,2024,2,85,3
28,11,2026,4,76,7
29,12,2026,3,75,7
30,13,2026,1,74,2
31,14,2026,1,71,1
32,15,2026,4,71,9
33,16,2026,2,66,3
34,17,2026,4,97,8
35,17,2025,3,84,7
36,17,2024,5,95,9
37,17,2023,5,82,8
38,17,2022,4,99,8
39,18,2026,3,87,5
40,18,2025,3,80,4
41,18,2024,3,83,5
42,18,2023,3,93,6
43,18,2022,2,89,4
44,19,2026,4,62,7
45,20,2026,4,90,6
46,21,2026,4,79,8
47,22,2026,5,87,10
48,23,2026,4,73,7
49,23,2025,2,99,3
50,23,2024,2,75,3
51,23,2023,4,87,6
52,23,2022,3,85,5
53,24,2026,4,80,8
54,24,2025,4,100,9
55,24,2024,5,95,9
56,24,2023,3,99,6
57,24,2022,4,97,7
58,25,2026,5,92,9
59,26,2026,2,84,1
60,26,2025,3,81,6
61,26,2024,3,78,6
62,26,2023,3,86,5
63,26,2022,3,100,7
64,27,2026,2,89,3
65,28,2026,3,84,7
66,28,2025,4,100,5
67,28,2024,3,83,6
68,28,2023,2,63,3
69,28,2022,3,93,6
70,29,2026,2,71,3
71,29,2025,4,86,8
72,29,2024,3,86,6
73,29,2023,4,86,9
74,29,2022,2,72,4
75,30,2026,4,98,7
76,30,2025,4,60,8
77,30,2024,5,88,10
78,30,2023,5,100,10
79,30,2022,4,91,8
80,31,2026,3,78,6
81,31,2025,5,100,9
82,31,2024,4,87,8
83,32,2026,4,83,7
84,33,2026,2,72,4
85,33,2025,2,52,4
86,34,2026,3,83,6
87,34,2025,3,79,6
88,34,2024,3,85,6
89,35,2026,4,100,7
90,35,2025,4,78,9
91,35,2024,3,90,5
92,35,2023,4,70,7
93,35,2022,4,81,6
94,36,2026,3,100,4
95,37,2026,3,98,4
96,37,2025,3,76,6
97,37,2024,3,84,5
98,37,2023,2,85,4
99,38,2026,3,100,5
100,38,2025,2,83,3
101,39,2026,5,92,10
102,40,2026,1,88,1
103,40,2025,2,86,4
104,40,2024,1,78,1
105,40,2023,2,88,4
106,40,2022,2,72,4
107,41,2026,3,62,3
108,41,2025,2,85,5
109,41,2024,3,83,5
110,41,2023,2,73,3
111,42,2026,4,93,7
112,42,2025,4,86,6
113,42,2024,5,74,9
114,42,2023,3,89,5
115,42,2022,3,61,4
116,43,2026,2,66,5
117,43,2025,2,74,5
118,43,2024,1,86,2
119,43,2023,1,71,1
120,43,2022,1,65,3
121,44,2026,2,70,3
122,45,2026,4,100,8
123,46,2026,2,76,3
124,46,2025,4,71,7
125,46,2024,2,78,3
126,46,2023,3,67,5
127,47,2026,3,84,6
128,47,2025,2,59,5
129,47,2024,4,85,6
130,47,2023,4,97,8
131,47,2022,2,69,4
132,48,2026,5,82,10
133,48,2025,5,89,10
134,48,2024,3,90,4
135,48,2023,4,91,8
136,49,2026,4,85,9
137,49,2025,5,96,10
138,49,2024,5,83,10
139,49,2023,4,94,8
140,49,2022,5,89,10
141,50,2026,3,72,5
142,51,2026,3,84,7
143,51,2025,4,82,8
144,51,2024,4,100,7
145,51,2023,2,88,3
146,51,2022,2,84,2
147,52,2026,3,97,5
148,52,2025,2,82,3
149,53,2026,2,67,3
150,54,2026,4,81,6
151,55,2026,5,73,10
152,55,2025,4,57,9
153,56,2026,4,89,7
154,56,2025,2,95,4
155,56,2024,3,73,6
156,56,2023,2,88,2
157,56,2022,3,86,7
158,57,2026,1,84,1
159,57,2025,3,87,5
160,57,2024,2,77,2
161,57,2023,3,77,4
162,58,2026,5,96,10
163,59,2026,3,77,5
164,60,2026,4,100,7
165,60,2025,4,91,7
166,60,2024,3,93,6
167,60,2023,4,81,9
168,60,2022,3,100,5
169,61,2026,3,90,6
170,62,2026,5,99,9
171,62,2025,5,92,8
172,62,2024,5,93,10
173,63,2026,5,97,10
174,63,2025,4,100,8
175,63,2024,4,89,8
176,64,2026,5,83,10
177,64,2025,5,79,10
178,64,2024,5,98,10
179,64,2023,4,93,9
180,65,2026,5,80,10
181,65,2025,5,100,10
182,66,2026,3,69,5
183,66,2025,4,85,8
184,67,2026,3,92,6
185,68,2026,2,84,2
186,68,2025,1,62,1
187,68,2024,1,66,1
188,68,2023,2,78,5
189,69,2026,4,58,7
190,70,2026,3,90,7
191,71,2026,3,87,6
192,72,2026,3,53,5
193,72,2025,5,96,9
194,72,2024,5,86,8
195,72,2023,3,82,5
196,72,2022,3,79,5
197,73,2026,4,73,9
198,74,2026,2,79,2
199,75,2026,3,100,5
200,75,2025,2,68,2
201,75,2024,3,71,5
202,75,2023,2,88,4
203,76,2026,3,88,7
204,76,2025,2,84,4
205,77,2026,5,93,9
206,77,2025,4,92,8
207,77,2024,4,96,8
208,77,2023,5,94,10
209,77,2022,4,75,6
210,78,2026,3,77,6
211,78,2025,4,77,9
212,78,2024,4,100,8
213,78,2023,4,91,8
214,78,2022,3,87,4
215,79,2026,4,74,9
216,79,2025,3,93,5
217,79,2024,4,93,10
218,79,2023,4,89,5
219,79,2022,5,93,10
220,80,2026,5,88,8
221,81,2026,4,86,6
222,81,2025,5,92,8
223,81,2024,3,82,6
224,81,2023,4,84,8
225,81,2022,4,71,7
226,82,2026,4,74,7
227,83,2026,5,87,10
228,83,2025,5,84,10
229,83,2024,3,78,6
230,84,2026,2,52,2
231,84,2025,1,71,1
232,84,2024,1,98,3
233,84,2023,2,72,3
234,84,2022,3,96,5
235,85,2026,4,100,7
236,85,2025,5,85,10
237,85,2024,3,91,6
238,85,2023,4,83,8
239,85,2022,5,93,9
240,86,2026,1,81,1
241,86,2025,1,72,1
242,86,2024,2,68,4
243,86,2023,1,64,1
244,87,2026,4,58,9
245,87,2025,3,73,5
246,87,2024,4,89,9
247,87,2023,4,90,9
248,87,2022,3,77,6
249,88,2026,3,75,5
250,89,2026,1,75,4
251,89,2025,2,88,3
252,89,2024,2,65,4
253,89,2023,2,95,2
254,89,2022,1,54,2
255,90,2026,3,63,6
256,91,2026,4,100,8
257,91,2025,5,97,10
258,91,2024,4,82,6
259,91,2023,5,95,10
260,91,2022,3,73,4
261,92,2026,2,75,4
262,92,2025,2,99,4
263,92,2024,3,77,5
264,93,2026,4,89,7
265,93,2025,5,92,10
266,94,2026,3,83,5
267,95,2026,3,73,5
268,95,2025,2,100,4
269,95,2024,4,81,9
270,95,2023,3,100,5
271,95,2022,3,81,8
272,96,2026,2,81,4
273,97,2026,4,100,6
274,98,2026,2,78,3
275,99,2026,4,79,8
276,99,2025,4,89,8
277,99,2024,3,88,5
278,99,2023,2,79,4
279,99,2022,3,95,6
280,100,2026,3,84,8
281,100,2025,3,78,5
282,100,2024,4,84,8
283,101,2026,4,83,8
284,102,2026,4,100,7
285,102,2025,3,92,6
286,102,2024,4,87,8
287,102,2023,5,87,9
288,103,2026,3,68,5
289,103,2025,3,79,4
290,103,2024,3,81,5
291,103,2023,4,100,8
292,103,2022,4,80,8
293,104,2026,4,74,9
294,104,2025,3,83,6
295,105,2026,4,94,7
296,105,2025,3,46,5
297,105,2024,4,100,7
298,105,2023,4,65,7
299,105,2022,3,80,4
300,106,2026,2,87,5
301,107,2026,5,97,9
302,107,2025,5,75,10
303,107,2024,5,100,8
304,107,2023,5,100,10
305,107,2022,5,96,9
306,108,2026,3,76,5
307,109,2026,3,84,7
308,109,2025,4,81,7
309,110,2026,3,85,7
310,110,2025,2,89,3
311,110,2024,3,93,5
312,110,2023,3,86,6
313,111,2026,3,74,6
314,111,2025,3,93,6
315,111,2024,4,100,8
316,112,2026,4,100,7
317,112,2025,3,61,6
