SalaryChangeID,EmployeeID,EffectiveDate,MonthlyIncome,ChangeType
1,1,2022-09-03,52154.0,Joining
2,1,2023-09-03,55134.0,Hike
3,1,2024-09-02,58132.0,Hike
4,2,2024-05-03,68806.0,Joining
5,3,2024-01-17,40463.0,Joining
6,4,2015-11-23,46914.0,Joining
7,4,2016-11-22,48148.0,Hike
8,4,2017-11-22,52014.0,Hike
9,4,2018-11-22,55362.0,Hike
10,4,2019-11-22,59527.0,Hike
11,4,2020-11-21,65194.0,Hike
12,5,2023-09-29,38099.0,Joining
13,5,2024-09-28,41297.0,Hike
14,6,2019-05-15,30402.0,Joining
15,6,2020-05-14,31992.0,Hike
16,6,2021-05-14,34355.0,Hike
17,6,2022-05-14,37227.0,Hike
18,6,2023-05-14,40579.0,Hike
19,6,2024-05-13,42285.0,Hike
20,7,2024-05-22,77288.0,Joining
21,8,2025-08-08,124194.0,Joining
22,9,2017-09-08,60086.0,Joining
23,9,2018-09-08,64470.0,Hike
24,9,2019-09-08,66893.0,Hike
25,9,2020-09-07,73179.0,Hike
26,9,2021-09-07,76405.0,Hike
27,9,2022-09-07,80269.0,Hike
28,10,2022-12-12,35300.0,Joining
29,10,2023-12-12,36963.0,Hike
30,10,2024-12-11,40275.0,Hike
31,11,2025-04-24,31794.0,Joining
32,12,2025-11-27,40850.0,Joining
33,13,2024-11-03,59352.0,Joining
34,14,2024-04-05,31088.0,Joining
35,15,2024-04-27,53535.0,Joining
36,16,2025-04-13,58430.0,Joining
37,17,2020-01-07,55155.0,Joining
38,17,2021-01-06,61163.0,Hike
39,17,2022-01-06,63668.0,Hike
40,17,2023-01-06,70559.0,Hike
41,17,2024-01-06,77543.0,Hike
42,18,2019-11-07,35873.0,Joining
43,18,2020-11-06,39047.0,Hike
44,18,2021-11-06,42142.0,Hike
45,18,2022-11-06,46030.0,Hike
46,18,2023-11-06,49553.0,Hike
47,18,2024-11-05,51601.0,Hike
48,19,2024-07-19,57063.0,Joining
49,20,2025-08-06,37754.0,Joining
50,21,2024-05-27,120729.0,Joining
51,22,2024-02-26,64314.0,Joining
52,23,2019-05-12,40039.0,Joining
53,23,2020-05-11,43346.0,Hike
54,23,2021-05-11,44149.0,Hike
55,23,2022-05-11,46733.0,Hike
56,23,2023-05-11,49803.0,Hike
57,23,2024-05-10,53631.0,Hike
58,24,2019-08-18,24318.0,Joining
59,24,2020-08-17,25496.0,Hike
60,24,2021-08-17,27653.0,Hike
61,24,2022-08-17,29285.0,Hike
62,24,2023-08-17,31747.0,Hike
63,24,2024-08-16,33307.0,Hike
64,25,2024-03-31,31946.0,Joining
65,26,2013-03-05,39004.0,Joining
66,26,2014-03-05,42266.0,Hike
67,26,2015-03-05,45915.0,Hike
68,26,2016-03-04,48321.0,Hike
69,26,2017-03-04,50690.0,Hike
70,26,2018-03-04,53870.0,Hike
71,27,2024-12-08,53857.0,Joining
72,28,2019-08-04,46302.0,Joining
73,28,2020-08-03,50548.0,Hike
74,28,2021-08-03,53720.0,Hike
75,28,2022-08-03,58002.0,Hike
76,28,2023-08-03,64485.0,Hike
77,28,2024-08-02,69783.0,Hike
78,29,2020-11-25,29000.0,Joining
79,29,2021-11-25,31018.0,Hike
80,29,2022-11-25,33884.0,Hike
81,29,2023-11-25,36156.0,Hike
82,29,2024-11-24,37395.0,Hike
83,30,2015-08-19,46470.0,Joining
84,30,2016-08-18,49117.0,Hike
85,30,2017-08-18,53163.0,Hike
86,30,2018-08-18,56148.0,Hike
87,30,2019-08-18,59799.0,Hike
88,30,2020-08-17,64712.0,Hike
89,31,2022-09-21,37586.0,Joining
90,31,2023-09-21,40129.0,Hike
91,31,2024-09-20,42356.0,Hike
92,32,2025-05-19,44525.0,Joining
93,33,2023-09-14,86735.0,Joining
94,33,2024-09-13,91422.0,Hike
95,34,2022-08-07,91686.0,Joining
96,34,2023-08-07,98192.0,Hike
97,34,2024-08-06,105895.0,Hike
98,35,2020-07-09,68787.0,Joining
99,35,2021-07-09,74529.0,Hike
100,35,2022-07-09,77523.0,Hike
101,35,2023-07-09,85424.0,Hike
102,35,2024-07-08,90310.0,Hike
103,36,2024-11-08,45698.0,Joining
104,37,2021-05-24,47441.0,Joining
105,37,2022-05-24,50479.0,Hike
106,37,2023-05-24,51733.0,Hike
107,37,2024-05-23,54997.0,Hike
108,38,2023-09-10,37801.0,Joining
109,38,2024-09-09,38868.0,Hike
110,39,2025-07-13,51084.0,Joining
111,40,2018-01-03,69483.0,Joining
112,40,2019-01-03,74406.0,Hike
113,40,2020-01-03,79140.0,Hike
114,40,2021-01-02,83604.0,Hike
115,40,2022-01-02,92207.0,Hike
116,40,2023-01-02,99467.0,Hike
117,41,2021-06-18,54643.0,Joining
118,41,2022-06-18,57562.0,Hike
119,41,2023-06-18,62519.0,Hike
120,41,2024-06-17,67491.0,Hike
121,42,2018-09-22,60929.0,Joining
122,42,2019-09-22,63483.0,Hike
123,42,2020-09-21,68289.0,Hike
124,42,2021-09-21,71383.0,Hike
125,42,2022-09-21,76246.0,Hike
126,42,2023-09-21,80007.0,Hike
127,43,2015-11-25,60742.0,Joining
128,43,2016-11-24,63113.0,Hike
129,43,2017-11-24,69535.0,Hike
130,43,2018-11-24,74598.0,Hike
131,43,2019-11-24,77451.0,Hike
132,43,2020-11-23,83794.0,Hike
133,44,2024-01-24,71155.0,Joining
134,45,2025-11-16,59136.0,Joining
135,46,2021-04-16,62708.0,Joining
136,46,2022-04-16,67527.0,Hike
137,46,2023-04-16,73274.0,Hike
138,46,2024-04-15,77593.0,Hike
139,47,2018-01-23,94601.0,Joining
140,47,2019-01-23,100819.0,Hike
141,47,2020-01-23,105196.0,Hike
142,47,2021-01-22,111522.0,Hike
143,47,2022-01-22,117443.0,Hike
144,47,2023-01-22,126905.0,Hike
145,48,2021-01-23,48223.0,Joining
146,48,2022-01-23,51124.0,Hike
147,48,2023-01-23,53721.0,Hike
148,48,2024-01-23,56946.0,Hike
149,49,2020-12-26,41569.0,Joining
150,49,2021-12-26,44599.0,Hike
151,49,2022-12-26,47815.0,Hike
152,49,2023-12-26,50730.0,Hike
153,49,2024-12-25,53840.0,Hike
154,50,2024-04-20,57832.0,Joining
155,51,2019-08-03,110463.0,Joining
156,51,2020-08-02,118450.0,Hike
157,51,2021-08-02,123546.0,Hike
158,51,2022-08-02,129152.0,Hike
159,51,2023-08-02,137510.0,Hike
160,51,2024-08-01,147473.0,Hike
161,52,2023-10-07,51811.0,Joining
162,52,2024-10-06,56185.0,Hike
163,53,2025-04-15,62827.0,Joining
164,54,2025-11-08,28344.0,Joining
165,55,2023-09-08,52737.0,Joining
166,55,2024-09-07,56205.0,Hike
167,56,2017-09-13,36999.0,Joining
168,56,2018-09-13,39470.0,Hike
169,56,2019-09-13,41981.0,Hike
170,56,2020-09-12,45731.0,Hike
171,56,2021-09-12,49508.0,Hike
172,56,2022-09-12,52260.0,Hike
173,57,2021-10-30,32660.0,Joining
174,57,2022-10-30,34650.0,Hike
175,57,2023-10-30,37663.0,Hike
176,57,2024-10-29,40459.0,Hike
177,58,2025-05-30,29459.0,Joining
178,59,2024-12-07,31002.0,Joining
179,60,2019-03-30,46653.0,Joining
180,60,2020-03-29,49759.0,Hike
181,60,2021-03-29,52947.0,Hike
182,60,2022-03-29,56523.0,Hike
183,60,2023-03-29,61909.0,Hike
184,60,2024-03-28,67492.0,Hike
185,61,2024-11-20,42517.0,Joining
186,62,2022-08-20,92251.0,Joining
187,62,2023-08-20,97130.0,Hike
188,62,2024-08-19,105807.0,Hike
189,63,2022-12-08,62881.0,Joining
190,63,2023-12-08,68560.0,Hike
191,63,2024-12-07,73106.0,Hike
192,64,2021-07-26,38714.0,Joining
193,64,2022-07-26,41488.0,Hike
194,64,2023-07-26,43121.0,Hike
195,64,2024-07-25,46178.0,Hike
196,65,2023-08-26,74497.0,Joining
197,65,2024-08-25,81927.0,Hike
198,66,2023-12-22,69079.0,Joining
199,66,2024-12-21,75358.0,Hike
200,67,2024-02-06,69904.0,Joining
201,68,2021-06-10,62355.0,Joining
202,68,2022-06-10,69505.0,Hike
203,68,2023-06-10,75311.0,Hike
204,68,2024-06-09,79886.0,Hike
205,69,2025-11-20,32109.0,Joining
206,70,2024-09-23,59421.0,Joining
207,71,2025-07-26,56215.0,Joining
208,72,2014-08-26,51581.0,Joining
209,72,2015-08-26,54371.0,Hike
210,72,2016-08-25,59073.0,Hike
211,72,2017-08-25,64549.0,Hike
212,72,2018-08-25,68714.0,Hike
213,72,2019-08-25,73464.0,Hike
214,73,2025-08-07,35263.0,Joining
215,74,2025-03-16,87920.0,Joining
216,75,2021-04-09,54124.0,Joining
217,75,2022-04-09,59834.0,Hike
218,75,2023-04-09,64852.0,Hike
219,75,2024-04-08,68998.0,Hike
220,76,2023-06-28,44990.0,Joining
221,76,2024-06-27,49237.0,Hike
222,77,2018-02-23,38215.0,Joining
223,77,2019-02-23,40621.0,Hike
224,77,2020-02-23,43544.0,Hike
225,77,2021-02-22,47348.0,Hike
226,77,2022-02-22,49778.0,Hike
227,77,2023-02-22,52404.0,Hike
228,78,2017-05-26,71533.0,Joining
229,78,2018-05-26,74544.0,Hike
230,78,2019-05-26,80361.0,Hike
231,78,2020-05-25,86235.0,Hike
232,78,2021-05-25,93086.0,Hike
233,78,2022-05-25,99453.0,Hike
234,79,2019-03-06,36857.0,Joining
235,79,2020-03-05,38370.0,Hike
236,79,2021-03-05,41677.0,Hike
237,79,2022-03-05,44818.0,Hike
238,79,2023-03-05,48196.0,Hike
239,79,2024-03-04,50911.0,Hike
240,80,2024-10-25,44053.0,Joining
241,81,2019-02-01,96559.0,Joining
242,81,2020-02-01,106640.0,Hike
243,81,2021-01-31,113947.0,Hike
244,81,2022-01-31,121435.0,Hike
245,81,2023-01-31,130651.0,Hike
246,81,2024-01-31,136073.0,Hike
247,82,2024-08-01,60790.0,Joining
248,83,2022-06-19,36676.0,Joining
249,83,2023-06-19,40514.0,Hike
250,83,2024-06-18,42791.0,Hike
251,84,2017-10-02,58783.0,Joining
252,84,2018-10-02,63017.0,Hike
253,84,2019-10-02,69138.0,Hike
254,84,2020-10-01,73534.0,Hike
255,84,2021-10-01,79474.0,Hike
256,84,2022-10-01,86287.0,Hike
257,85,2019-11-17,37987.0,Joining
258,85,2020-11-16,41740.0,Hike
259,85,2021-11-16,44665.0,Hike
260,85,2022-11-16,47509.0,Hike
261,85,2023-11-16,49466.0,Hike
262,85,2024-11-15,51553.0,Hike
263,86,2021-04-08,27692.0,Joining
264,86,2022-04-08,29650.0,Hike
265,86,2023-04-08,33542.0,Hike
266,86,2024-04-07,36053.0,Hike
267,87,2019-06-27,36693.0,Joining
268,87,2020-06-26,37282.0,Hike
269,87,2021-06-26,40252.0,Hike
270,87,2022-06-26,43373.0,Hike
271,87,2023-06-26,45407.0,Hike
272,87,2024-06-25,47746.0,Hike
273,88,2024-06-25,53359.0,Joining
274,89,2020-08-01,60534.0,Joining
275,89,2021-08-01,65095.0,Hike
276,89,2022-08-01,70092.0,Hike
277,89,2023-08-01,76888.0,Hike
278,89,2024-07-31,79759.0,Hike
279,90,2024-05-25,41000.0,Joining
280,91,2017-10-29,30648.0,Joining
281,91,2018-10-29,32068.0,Hike
282,91,2019-10-29,35086.0,Hike
283,91,2020-10-28,37633.0,Hike
284,91,2021-10-28,39436.0,Hike
285,91,2022-10-28,43317.0,Hike
286,92,2022-01-07,106949.0,Joining
287,92,2023-01-07,114573.0,Hike
288,92,2024-01-07,123494.0,Hike
289,93,2023-05-03,69415.0,Joining
290,93,2024-05-02,74918.0,Hike
291,94,2024-05-07,31718.0,Joining
292,95,2020-07-31,36692.0,Joining
293,95,2021-07-31,38745.0,Hike
294,95,2022-07-31,42242.0,Hike
295,95,2023-07-31,44757.0,Hike
296,95,2024-07-30,47672.0,Hike
297,96,2024-09-02,38118.0,Joining
298,97,2024-08-29,80346.0,Joining
299,98,2024-09-02,34410.0,Joining
300,99,2020-02-13,51313.0,Joining
301,99,2021-02-12,55150.0,Hike
302,99,2022-02-12,58253.0,Hike
303,99,2023-02-12,60812.0,Hike
304,99,2024-02-12,64308.0,Hike
305,100,2022-12-29,65874.0,Joining
306,100,2023-12-29,70163.0,Hike
307,100,2024-12-28,75267.0,Hike
308,101,2024-10-31,42269.0,Joining
309,102,2021-11-26,30565.0,Joining
310,102,2022-11-26,33221.0,Hike
311,102,2023-11-26,37565.0,Hike
312,102,2024-11-25,40435.0,Hike
313,103,2019-08-12,36765.0,Joining
314,103,2020-08-11,38636.0,Hike
315,103,2021-08-11,40787.0,Hike
316,103,2022-08-11,42609.0,Hike
317,103,2023-08-11,45931.0,Hike
318,103,2024-08-10,49673.0,Hike
319,104,2023-10-21,69770.0,Joining
320,104,2024-10-20,74260.0,Hike
321,105,2020-06-02,84544.0,Joining
322,105,2021-06-02,90138.0,Hike
323,105,2022-06-02,98104.0,Hike
324,105,2023-06-02,104133.0,Hike
325,105,2024-06-01,112147.0,Hike
326,106,2025-12-10,65778.0,Joining
327,107,2018-12-18,38100.0,Joining
328,107,2019-12-18,41019.0,Hike
329,107,2020-12-17,42932.0,Hike
330,107,2021-12-17,44387.0,Hike
331,107,2022-12-17,46168.0,Hike
332,107,2023-12-17,49106.0,Hike
333,108,2024-02-24,68274.0,Joining
334,109,2023-07-01,74876.0,Joining
335,109,2024-06-30,79410.0,Hike
336,110,2021-07-29,65165.0,Joining
337,110,2022-07-29,70601.0,Hike
338,110,2023-07-29,75497.0,Hike
339,110,2024-07-28,81730.0,Hike
340,111,2022-07-28,51929.0,Joining
341,111,2023-07-28,56024.0,Hike
342,111,2024-07-27,57327.0,Hike
343,112,2023-12-31,29392.0,Joining
344,112,2024-12-30,31769.0,Hike
345,113,2021-03-09,57552.0,Joining
346,113,2022-03-09,63495.0,Hike
347,113,2023-03-09,69186.0,Hike
348,113,2024-03-08,73004.0,Hike
349,114,2024-02-15,63560.0,Joining
350,115,2025-06-23,45117.0,Joining
351,116,2025-02-12,93986.0,Joining
352,117,2025-02-04,58726.0,Joining
353,118,2023-08-17,66260.0,Joining
354,118,2024-08-16,71819.0,Hike
355,119,2025-08-14,31687.0,Joining
356,120,2023-07-19,66635.0,Joining
357,120,2024-07-18,71418.0,Hike
358,121,2025-09-11,77686.0,Joining
359,122,2025-12-04,44678.0,Joining
360,123,2022-10-11,58646.0,Joining
361,123,2023-10-11,62090.0,Hike
362,123,2024-10-10,65251.0,Hike
363,124,2025-10-26,44558.0,Joining
364,125,2025-08-04,48245.0,Joining
365,126,2025-01-09,121054.0,Joining
366,127,2023-08-17,40072.0,Joining
367,127,2024-08-16,43591.0,Hike
368,128,2024-11-11,50886.0,Joining
369,129,2021-09-12,95015.0,Joining
370,129,2022-09-12,101954.0,Hike
371,129,2023-09-12,108936.0,Hike
372,129,2024-09-11,116465.0,Hike
373,130,2024-08-28,84950.0,Joining
374,131,2025-03-26,123389.0,Joining
375,132,2023-09-07,38985.0,Joining
